text,date,likes,comments,sentiment
"""Saya  ingin mengucapkan syukur pada Datin Seri Rosmah Mansor yang telah  dilepas dan dibebaskan daripada pertuduhan-pertuduhan, pengubahan wang  haram dan juga pertuduhan untuk tidak mengisytihar harta.",2024-12-19 11:28:03+00:00,0,1,Neutral
"Hormati keputusan mahkamah bebas Rosmah - Ahmad Zahid

BENTONG - Timbalan Perdana Menteri, Datuk Seri Dr Ahmad Zahid Hamidi  meminta semua pihak menghormati keputusan Mahkamah Tinggi yang membebas  dan melepaskan isteri bekas Perdana Menteri, Datin Seri Rosmah Mansor  pada… https://t.co/SNfWlHB3rt https://t.co/9HfkXBdpoe",2024-12-19 11:27:54+00:00,0,1,Positive
"@Hancurzberkecai @anwaribrahim nak lepaskan amenda, amik pun tak, Anwar dah ada bini. Kau nak Rosmah ambiklah.",2024-12-19 11:23:02+00:00,0,0,Negative
https://t.co/G9qkCuzpak,2024-12-19 11:19:15+00:00,0,0,Neutral
"@msianaffairs Anwar once said: “To him (Najib) &amp; also Rosmah, (this is) my advice, find a good defence counsel,”....",2024-12-19 11:16:08+00:00,0,0,Positive
"Can ALL Msians not pay taxes like the rich, powerful and corrupt? 

High Court acquits Rosmah of RM7mil money laundering and tax charges https://t.co/hkEJcRamon",2024-12-19 11:14:12+00:00,0,0,Negative
"The US$346mil lawsuit filed by 1Malaysia Development Berhad (1MDB) and 10 other companies against Datin Seri Rosmah Mansor, alleging the use of misappropriated 1MDB funds to purchase luxury goods, is now under the jurisdiction of High Court Judge Wan Muhammad Amin Wan Yahya. https://t.co/EgDPiFFyy3",2024-12-19 11:13:35+00:00,0,0,Negative
"#Malaysian court has acquitted Rosmah Mansor, wife of ex-PM Najib Razak, of charges related to money laundering and tax evasion. The decision comes amid ongoing legal battles surrounding the former leader’s family. #RosmahMansor #NajibRazak #LegalNews
https://t.co/LhwQsFK8ax",2024-12-19 11:13:00+00:00,0,0,Negative
"The development was confirmed by lawyer Villasha Anbalagan, who represents all the plaintiffs, comprising 1MDB and the 10 companies.
https://t.co/yFQTtT3EYo
https://t.co/yFQTtT3EYo",2024-12-19 11:11:43+00:00,0,0,Negative
@501Awani @amer7211 lahanat kaki fitnah. Datin Rosmah terbaik suci sesucinya. UMNO dgn ini bukan lah seperti yg dijaja PH kleptocrat dan rasuah. UMNO amatlah bersih tp difitnah oleh dungu2 PH mcm Ameer,2024-12-19 11:11:06+00:00,0,0,Negative
"Kes saman US$346 juta 1MDB terhadap Rosmah didengar hakim baharu 

https://t.co/SmG6lD2KXI 

#BernamaNews https://t.co/5vnDTs7hFJ",2024-12-19 11:10:36+00:00,1,0,Negative
Lagi satu LHDN...kalau cukai M40 sampai ke lubang cacing dikejar siap kena bayar kompaun ape semua. Ehhh tang rosmah tetiba lepas pulak. Lahabau https://t.co/tS3il28eqS,2024-12-19 11:09:24+00:00,1,0,Negative
@MalaysiaGazette Rosmah Mansor aka Big mama Bebas membuktikan Big mama memang difitnah oleh Pimpinan PH dan Walanon2 nye,2024-12-19 11:07:03+00:00,0,0,Negative
@nizar_hawari @YazidAiman4 @JatIkhwan Kirenye betul lah rosmah menabung dari kecik untuk beli handbag die??? 😱,2024-12-19 11:04:13+00:00,0,0,Negative
"@RuleMaker101 @SyedAkramin Kes Musa Aman, AG waktu itu yg putuskan tidak teruskan kes, peluang utk dakwa semula sudah tiada. 

Kes Rosmah, mahkamah lepaskan tapi AG dah putuskan utk buat rayuan.

Kes Batu Puteh, AG tengah tunggu tindakan polis.

Baca lebih sikit. Jgn asyik komplen.",2024-12-19 11:02:15+00:00,0,0,Negative
"Join now for more such profitable trades👉https://t.co/7luuCDm0R9

#XAUUSD SELL 2620
TP 2608
TP 2590
SL 2627

 #FOMC #forextrading #investing #stockmarketcrash #FayeYokoxYuniverse #Rosmah #DPRinKL #niftycrash #faiz #Powell #FOMC",2024-12-19 10:56:39+00:00,0,0,Positive
"Mesti ramai akan salahkan Anwar sebab Zahid dengan Rosmah dah clean, tengok comment pun dah tau😂. Kaji dulu ya, mana boleh PM dan jemaah menteri campur tangan bidang kehakiman, basic sejarah sek menengah ni. https://t.co/0Ikc9cBZUc https://t.co/adqPmgSFJS",2024-12-19 10:54:23+00:00,0,0,Negative
"Join now for more such trades👉https://t.co/JytR6XPhyk

#XAUUSD SELL 2620
TP 2608
TP 2590
SL 2627

#xauusd #FOMC #forextrading #investing #stockmarketcrash #FayeYokoxYuniverse #Rosmah #DPRinKL #niftycrash #faiz #Powell #FOMC #forextradng #XAUUSD",2024-12-19 10:53:52+00:00,0,0,Negative
@Hancurzberkecai @anwaribrahim dia ni masih terdoktrin dengan sistem lama..bila kutu mcm rosmah &amp; co lepas je mesti ada kaitan dengan pm,2024-12-19 10:53:18+00:00,2,0,Negative
"1MDB, 10 companies’ bid to recover RM1.56bil from Rosmah starts before new judge

https://t.co/RlRpDpBoS4",2024-12-19 10:52:54+00:00,1,0,Negative
@SenseiUcu Rosmah terlepas tuduhan,2024-12-19 10:49:39+00:00,0,0,Negative
"1MDB, 10 companies’ bid to recover RM1.56bil from Rosmah starts before new judge  #FMTNews #FMTEng
 https://t.co/olq8IhFGbD",2024-12-19 10:49:08+00:00,1,0,Negative
@KhabirM Rosmah faced a few charges. She was found guilty (and appeal rightly so) for one of the cases,2024-12-19 10:46:06+00:00,1,0,Negative
